,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
38,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,,admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,MIT,2017-08-15 09:29:16,2025-02-14 12:57:03,2025-02-14 12:56:35,528,9.0,966.0,121,90.0,,206.0,3331.0,2025-02-14 12:57:03,5.3.0,,,65.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,13.0,,,20,True,1,1.0,"['vue3', 'bootstrap5', 'coreui']",
39,vue-formulate,wearebraid/vue-formulate,,forms,https://github.com/wearebraid/vue-formulate,https://github.com/wearebraid/vue-formulate,MIT,2019-10-07 14:13:30,2023-05-06 23:19:06,2022-04-13 12:37:08,558,,239.0,30,126.0,115.0,339.0,2254.0,,,,,,The easiest way to build forms with Vue.,47.0,47.0,18.0,,,19,True,3,,,
40,vuex-orm-next,vuex-orm/vuex-orm-next,,state-management,https://github.com/vuex-orm/vuex-orm-next,https://github.com/vuex-orm/vuex-orm-next,MIT,2020-04-10 03:54:39,2023-03-04 11:20:52,2021-12-03 07:26:44,214,,11.0,11,102.0,11.0,22.0,188.0,2021-11-19 00:31:46,1.0.0-draft.16,,,17.0,The next iteration of Vuex ORM.,1060.0,1060.0,9.0,,,18,True,2,,['vue3'],
41,vue.draggable.next,SortableJS/vue.draggable.next,,dnd,https://github.com/SortableJS/vue.draggable.next,https://github.com/SortableJS/vue.draggable.next,MIT,2020-11-18 01:28:43,2023-09-27 01:14:21,2021-08-25 03:06:16,641,,515.0,21,30.0,177.0,72.0,4065.0,2020-11-30 17:06:31,4.0.1,,,1.0,Vue 3 compatible drag-and-drop component based on Sortable.js.,,,45.0,,,17,True,2,,['vue3'],
42,vue-save-state,spatie/vue-save-state,vue-save-state,state-management,https://github.com/spatie/vue-save-state,https://github.com/spatie/vue-save-state,MIT,2016-10-28 13:06:41,2022-03-21 12:45:21,2022-03-21 12:45:21,58,,22.0,12,11.0,,14.0,243.0,2017-01-19 19:12:25,1.1.0,,2658.0,1.0,A Vue mixin to save the state of a component to local storage.,152.0,152.0,9.0,https://www.npmjs.com/package/vue-save-state,2658.0,17,True,3,,[],
43,admin-one-vue-tailwind,justboil/admin-one-vue-tailwind,,admin-dashboards,https://github.com/justboil/admin-one-vue-tailwind,https://github.com/justboil/admin-one-vue-tailwind,MIT,2021-06-14 13:48:31,2024-05-22 06:30:38,2024-05-22 06:30:38,442,,423.0,32,18.0,24.0,17.0,2253.0,2023-04-06 16:31:39,3.2.0,,,13.0,Free Vue.js 3.x Tailwind 3.x admin dashboard template with dark mode. Vite builds. Pinia state. Laravel integration..,,,4.0,,,16,True,3,,"['vue3', 'tailwind', 'vite', 'pinia']",
44,Genql,remorses/genql,,graphql-clients,https://github.com/remorses/genql,https://github.com/remorses/genql,MIT,2020-05-14 20:39:29,2025-02-03 17:38:53,2025-02-03 17:38:46,1273,2.0,35.0,7,45.0,8.0,137.0,905.0,2024-03-30 15:58:33,@genql/cli@6.3.3,,,1.0,Type safe TypeScript client for any GraphQL API.,187.0,187.0,12.0,,,16,True,3,,"['vue2', 'vue3']",
45,vue-dragging,hilongjw/vue-dragging,,dnd,https://github.com/hilongjw/vue-dragging,https://github.com/hilongjw/vue-dragging,MIT,2016-11-16 06:39:22,2018-12-12 14:05:44,2018-12-12 14:05:35,57,,142.0,23,7.0,24.0,4.0,762.0,,,,,,A sortable list directive with Vue.,1321.0,1321.0,9.0,,,16,False,3,,['vue2'],
46,vorms,Mini-ghost/vorms,,forms,https://github.com/Mini-ghost/vorms,https://github.com/Mini-ghost/vorms,MIT,2022-04-27 16:26:30,2024-11-02 10:03:31,2024-11-02 10:03:31,202,,26.0,7,35.0,9.0,10.0,644.0,2023-02-25 09:28:18,1.1.0,,,10.0,Vue Form Validation with Composition API.,64.0,64.0,7.0,,,16,True,3,,,
47,AgnosticUI,AgnosticUI/agnosticui,agnosticui,ui-frameworks,https://github.com/AgnosticUI/agnosticui,https://github.com/AgnosticUI/agnosticui,Apache-2.0,2020-09-07 21:03:08,2023-12-29 12:37:44,2023-01-23 23:36:07,1914,,47.0,5,60.0,38.0,149.0,732.0,,,,,16.0,AgnosticUI is a set of UI primitives that start their lives in clean HTML and CSS. These standards compliant..,,,12.0,https://www.npmjs.com/package/agnosticui,,15,True,3,,['vue3'],
48,harlem,andrewcourtice/harlem,harlem,state-management,https://github.com/andrewcourtice/harlem,https://github.com/andrewcourtice/harlem,MIT,2020-10-01 23:52:49,2024-06-03 00:06:34,2023-04-26 22:35:18,525,,15.0,7,59.0,3.0,13.0,516.0,2023-03-20 23:34:42,3.1.8,,121.0,63.0,Powerfully simple global state management for Vue 3.,13.0,13.0,10.0,https://www.npmjs.com/package/harlem,121.0,15,True,3,,['vue3'],
49,Vuex ORM integration,vuex-orm/plugin-graphql,,graphql-integrations,https://github.com/vuex-orm/plugin-graphql,https://github.com/vuex-orm/plugin-graphql,MIT,2018-01-30 15:59:22,2022-12-14 15:16:51,2020-11-18 15:11:03,355,,50.0,10,93.0,44.0,71.0,226.0,2018-06-07 12:43:48,0.0.41,,,65.0,Vuex ORM persistence plugin to sync the store against a GraphQL API.,3.0,3.0,18.0,,,15,True,3,,"['vue2', 'vue3', 'vuex-orm']",
50,vue-route,ayamflow/vue-route,vue-route,routing,https://github.com/ayamflow/vue-route,https://github.com/ayamflow/vue-route,,2014-11-05 08:42:52,2016-11-04 21:00:45,2016-11-04 21:00:45,66,,8.0,9,9.0,2.0,17.0,74.0,2015-06-26 16:49:13,.1.5.0,,4108.0,9.0,"Routing directive for Vue.js, inspired by ng-view.",1382.0,1382.0,4.0,https://www.npmjs.com/package/vue-route,4108.0,15,False,3,,['vue2'],
51,vue-js-grid,euvl/vue-js-grid,,dnd,https://github.com/euvl/vue-js-grid,https://github.com/euvl/vue-js-grid,MIT,2017-09-21 14:51:06,2022-08-18 01:13:29,2020-05-17 06:21:53,48,,106.0,23,15.0,16.0,15.0,950.0,,,,,,"Vue.js 2.x responsive grid system with smooth sorting, drag-n-drop and reordering.",161.0,161.0,8.0,,,14,True,3,,['vue2'],
